Title,Author,Genre,SubGenre,Height,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,Wiley
Data Smart,"Foreman, John",tech,data_science,235,Wiley
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,Penguin
Superfreakonomics,"Dubner, Stephen",science,economics,179,HarperCollins
Orientalism,"Said, Edward",nonfiction,history,197,Penguin
Nature of Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,230,Springer
Integration of the Indian States,"Menon, V P",nonfiction,history,217,Orient Blackswan
Drunkard's Walk,"Mlodinow, Leonard",science,mathematics,197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,Random House
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,MIT Press
Statistical Decision Theory',"Pratt, John",tech,data_science,236,MIT Press
Data Mining Handbook,"Nisbet, Robert",tech,data_science,242,Apress
The New Machiavelli,"Wells, H. G.",fiction,novel,180,Penguin
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,197,Penguin
Making Software,"Oram, Andy",tech,computer_science,232,O'Reilly
Vol I Analysis,"Tao, Terence",tech,mathematics,248,HBA
Machine Learning for Hackers,"Conway, Drew",tech,data_science,233,O'Reilly
The Signal and the Noise,"Silver, Nate",tech,data_science,233,Penguin
Python for Data Analysis,"McKinney, Wes",tech,data_science,233,O'Reilly
Introduction to Algorithms,"Cormen, Thomas",tech,computer_science,234,MIT Press
Beautiful and the Damned,"Deb, Siddhartha",nonfiction,history,198,Penguin
The Outsider,"Camus, Albert",fiction,classic,198,Penguin
Complete Sherlock Holmes Vol I,"Doyle, Arthur Conan",fiction,classic,176,Random House
Complete Sherlock Holmes Vol II,"Doyle, Arthur Conan",fiction,classic,176,Random House
Wealth of Nations,"Smith, Adam",science,economics,175,Random House
Pillars of the Earth,"Follett, Ken",fiction,novel,176,Random House
Mein Kampf,"Hitler, Adolf",nonfiction,autobiography,212,Rupa
The Tao of Physics,"Capra, Fritjof",science,physics,179,Penguin
Surely You're Joking Mr Feynman,"Feynman, Richard",science,physics,198,Random House
Farewell to Arms,"Hemingway, Ernest",fiction,classic,179,Rupa
Veteran,"Forsyth, Frederick",fiction,novel,177,Transworld
False Impressions,"Archer, Jeffery",fiction,novel,177,Pan
Last Lecture,"Pausch, Randy",nonfiction,autobiography,197,Hyperion
Return of the Primitive,"Rand, Ayn",philosophy,objectivism,202,Penguin
Jurassic Park,"Crichton, Michael",fiction,novel,174,Random House
Russian Journal,"Steinbeck, John",nonfiction,history,196,Penguin
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,classic,172,HarperCollins
